date,old_price,new_price,percentage
03.08.2018,31341,31341,0
20.09.2018,31341,32474,3
31.10.2018,31341,32285,3
29.12.2018,31341,37860,20
07.02.2019,31341,35760,14
01.04.2019,31341,35172,12
19.04.2019,31341,33888,8
24.06.2019,31341,36660,16
28.06.2019,31341,36840,17
16.07.2019,31341,36588,16
22.07.2019,31341,36924,17
06.08.2019,31341,39156,24
08.08.2019,31341,39516,26
12.08.2019,31341,40344,28
14.08.2019,31341,39948,27
25.08.2019,31341,40752,30
01.09.2019,31341,41484,32
07.09.2019,31341,40800,30
29.09.2019,31341,39288,25
04.10.2019,31341,40092,27
02.11.2019,31341,39192,25
09.03.2020,31341,46476,48
20.03.2020,31341,47484,51
03.07.2020,31341,51540,64
13.07.2020,31341,52764,68
22.07.2020,31341,53568,70
11.08.2020,31341,61092,94
14.08.2020,31341,58416,86
22.08.2020,31341,58764,87
26.08.2020,31341,60312,92
01.09.2020,31341,59052,88
06.11.2020,31341,60540,93
09.11.2020,31341,61320,95
10.11.2020,31341,58404,86
